id,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14
1239,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,A,D,D,A,B,C,B,D,B,A,A,A,B,H,C,D,C,E,C,D,T,F,A,A,A,H,F,G,K,K,BI,CS,C,AY,L,C,P,IG,0.513457,0.620805,0.506105,0.753703,0.281143,0.724042,0.584708,0.87954,0.521,0.61459,0.757468,0.74464,0.78245,0.556235
1241,A,B,A,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,A,C,B,C,B,A,A,A,A,A,D,D,E,E,G,E,R,L,L,A,B,G,D,G,I,F,BI,CO,A,AH,S,A,N,HG,0.66248,0.737068,0.215772,0.679338,0.38056,0.674155,0.44376,0.5245,0.68419,0.72223,0.359572,0.352251,0.689974,0.246519
1243,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,A,B,C,B,D,B,A,A,A,A,A,C,D,C,E,C,D,T,H,C,A,B,G,E,G,L,K,BI,CO,A,AF,S,A,P,HV,0.333085,0.555782,0.280933,0.796346,0.696981,0.616096,0.426295,0.78487,0.43318,0.52775,0.4922,0.481306,0.717751,0.220613
1244,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,J,A,A,B,E,E,H,F,B,BI,CS,A,AH,BM,E,K,DP,0.475784,0.785784,0.592681,0.614134,0.78323,0.3735,0.381883,0.36083,0.44352,0.45017,0.338312,0.366307,0.339244,0.242511
1245,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,D,B,B,B,B,A,B,C,B,B,B,A,A,A,A,A,C,D,D,E,E,A,P,O,A,A,A,D,F,J,G,B,AB,EG,K,AV,K,A,L,DC,0.351358,0.681761,0.54977,0.83324,0.405415,0.252511,0.298868,0.59512,0.32496,0.26029,0.291268,0.286079,0.315758,0.311665
1277,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,D,B,B,B,D,B,A,C,B,B,B,A,A,A,A,A,D,D,E,E,C,A,S,K,A,A,C,E,E,H,H,I,BI,CL,A,K,BJ,I,M,DP,0.468558,0.555782,0.54977,0.267727,0.739121,0.392114,0.434643,0.50658,0.35897,0.34424,0.352419,0.352251,0.456775,0.360884
1279,A,B,A,B,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,C,D,B,B,C,B,D,B,A,A,A,A,A,D,B,C,F,G,D,T,I,L,A,A,K,E,E,H,K,BI,EG,C,E,AD,A,P,MC,0.840271,0.127059,0.120071,0.652072,0.288217,0.867156,0.594238,0.33372,0.83735,0.71323,0.661688,0.648446,0.793584,0.824494
1292,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,B,B,B,C,B,A,C,A,A,A,A,A,C,D,C,E,E,A,C,O,A,A,C,G,J,H,F,H,BI,BT,A,AS,BD,A,H,HJ,0.251879,0.488789,0.844219,0.345595,0.295397,0.293047,0.961557,0.33372,0.19464,0.40666,0.784967,0.772574,0.177507,0.721473
1293,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,A,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,G,A,A,A,G,F,F,J,K,BI,CQ,C,AI,AJ,A,N,HQ,0.484469,0.785784,0.762059,0.452887,0.348388,0.711416,0.614204,0.34445,0.55855,0.69471,0.771508,0.758883,0.666708,0.348025
1299,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,B,B,B,C,B,B,B,A,B,A,A,A,D,D,D,E,C,A,P,G,A,A,C,E,F,H,G,B,BI,CO,A,AH,M,A,L,GK,0.496063,0.555782,0.54977,0.604408,0.594196,0.380128,0.327516,0.41762,0.43524,0.42284,0.415029,0.40609,0.372852,0.254981
1304,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,A,A,C,B,D,E,C,A,P,I,J,A,A,E,E,I,F,B,BI,EB,A,AH,AE,A,K,DJ,0.480125,0.299102,0.484196,0.373816,0.302678,0.301647,0.360121,0.26847,0.41471,0.43919,0.307628,0.301921,0.315758,0.237948
1313,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,B,C,B,B,B,A,A,A,B,H,D,D,C,E,C,A,D,F,A,C,C,G,H,G,F,D,BI,W,A,AS,AG,A,J,HK,0.376862,0.358319,0.745801,0.208655,0.281143,0.416467,0.585786,0.2828,0.5042,0.43919,0.678924,0.729856,0.253506,0.72144
1328,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,B,D,B,A,C,B,C,B,A,A,A,A,A,D,D,E,E,G,E,R,A,A,A,A,G,F,F,I,F,BI,CS,A,AH,BM,F,M,HK,0.632041,0.785784,0.692825,0.564742,0.924177,0.73837,0.636058,0.71817,0.64873,0.77634,0.698978,0.692256,0.689974,0.242398
1330,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,B,B,D,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,I,A,A,B,E,E,G,E,B,BI,BR,C,I,M,A,I,GI,0.444104,0.127059,0.484196,0.584712,0.491114,0.35337,0.349614,0.38885,0.41675,0.45017,0.334828,0.328268,0.243546,0.289721
1334,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,B,D,A,A,F,G,H,F,B,BI,EB,C,AF,AS,A,K,GS,0.441242,0.422197,0.61366,0.309621,0.372405,0.315699,0.352087,0.48864,0.36285,0.36458,0.531161,0.519456,0.30435,0.211231
1335,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,A,A,A,G,H,C,D,C,E,C,D,T,J,A,A,B,H,F,G,K,K,BI,EB,A,AY,AK,A,P,HX,0.517803,0.681761,0.61366,0.259793,0.281143,0.708995,0.567717,0.33372,0.54192,0.65072,0.730752,0.717648,0.753989,0.55356
1336,A,B,A,B,A,B,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,C,A,D,D,D,E,A,A,P,H,I,A,A,F,F,F,F,D,BI,CL,C,AV,H,C,J,GS,0.532264,0.785784,0.745801,0.284048,0.281143,0.532648,0.868679,0.24123,0.60151,0.53328,0.6075,0.594646,0.330336,0.303817
1341,B,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,B,D,E,E,A,P,I,C,A,A,C,E,K,H,B,K,EB,C,AK,AE,A,L,CI,0.280167,0.299102,0.506105,0.354893,0.302678,0.186254,0.313014,0.27797,0.32128,0.24355,0.180456,0.178698,0.30435,0.470899
1344,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,A,C,B,D,B,A,A,A,A,A,C,D,C,E,E,D,T,J,A,A,A,E,E,J,J,K,BI,CL,A,AU,BJ,F,O,DP,0.340859,0.827585,0.506105,0.267727,0.919163,0.36993,0.40937,0.47669,0.31945,0.36458,0.341813,0.335036,0.598688,0.202715
1351,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,I,D,A,A,E,E,I,K,K,BI,CQ,A,AS,BM,A,O,DP,0.330514,0.737068,0.592681,0.614134,0.874863,0.400555,0.402942,0.58934,0.35127,0.43919,0.338312,0.366307,0.611431,0.73148
1352,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,D,B,B,D,D,B,B,C,B,C,B,A,A,A,B,H,D,B,E,E,A,E,R,F,A,A,B,G,E,H,J,F,AB,BC,C,AH,S,C,M,HG,0.477231,0.555782,0.246911,0.679338,0.696981,0.563804,0.331769,0.42345,0.52728,0.79139,0.377724,0.369858,0.689974,0.236616
1354,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,A,D,T,J,A,A,B,K,F,E,K,E,BI,EB,A,AW,AG,C,Q,LW,0.716981,0.422197,0.26357,0.215482,0.281143,0.906164,0.92475,0.3128,0.71934,0.79863,0.832976,0.821749,0.891549,0.836621
1368,A,B,B,A,A,A,A,A,B,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,B,C,B,D,D,A,A,B,C,A,D,B,C,E,D,D,T,M,I,A,A,D,E,L,O,K,AB,C,A,AH,L,A,Q,CR,0.093006,0.245921,0.419161,0.696873,0.281143,0.259454,0.327842,0.61229,0.10579,0.23545,0.209813,0.207184,0.617748,0.24275
1373,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,A,B,D,B,D,A,A,G,H,D,D,C,D,A,C,T,J,A,A,A,K,F,F,G,G,BI,EB,A,J,Y,I,O,LQ,0.914335,0.737068,0.317666,0.802892,0.635304,0.84379,0.580868,0.80058,0.93884,0.80218,0.82184,0.832658,0.820538,0.392748
1375,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,B,C,E,C,D,T,A,A,A,A,G,E,I,L,K,BI,DR,A,E,AX,C,Q,HG,0.321594,0.15999,0.201309,0.402922,0.281143,0.441815,0.324783,0.61229,0.34365,0.38016,0.341813,0.335036,0.704052,0.808858
1381,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,B,C,B,G,C,T,L,D,A,B,M,E,E,G,G,BI,EG,A,AP,AD,A,P,KA,0.936238,0.358319,0.139862,0.642745,0.281143,0.92921,0.794808,0.82598,0.96909,0.82889,0.797841,0.810292,0.854872,0.359389
1384,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,D,B,A,B,A,B,H,D,D,C,E,C,D,T,F,A,A,B,G,E,G,K,K,BI,EB,A,AH,AE,A,N,HK,0.458463,0.299102,0.527991,0.327354,0.422268,0.698205,0.526532,0.35533,0.38249,0.73971,0.6075,0.594646,0.736269,0.229389
1385,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,B,A,B,C,B,D,B,D,A,A,A,A,C,D,C,E,A,C,T,H,A,A,C,K,G,E,G,G,BI,CQ,A,AV,BM,A,P,LY,0.964079,0.555782,0.484196,0.594598,0.794794,0.901462,0.611394,0.78487,0.98811,0.8351,0.933174,0.926619,0.858149,0.290329
1388,A,B,B,B,A,A,A,A,B,B,B,B,A,A,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,D,B,D,B,D,B,B,C,B,D,D,A,A,B,A,A,D,B,C,E,C,D,T,B,L,A,A,I,E,G,K,K,BI,EB,E,AN,Y,A,Q,KW,0.480125,0.299102,0.201309,0.614134,0.551723,0.702646,0.553739,0.56011,0.53774,0.47225,0.550529,0.590961,0.756454,0.283185
1401,A,B,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,C,B,C,B,A,B,A,A,A,A,A,E,D,A,E,E,A,E,L,Q,A,A,E,F,G,G,H,BI,EG,A,AD,H,A,H,GI,0.151031,0.299102,0.634224,0.215482,0.325117,0.287716,0.704171,0.61229,0.23873,0.36458,0.3925,0.384201,0.153597,0.792799
1402,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,C,E,C,A,K,F,C,A,D,E,H,I,I,A,BI,EG,A,AS,BO,A,K,FH,0.204048,0.620805,0.884994,0.309621,0.465115,0.296961,0.459649,0.47669,0.33611,0.36974,0.558237,0.546052,0.312885,0.708971
1404,B,B,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,A,D,T,I,F,A,A,I,F,F,K,K,BI,BT,A,AS,N,A,Q,LB,0.640095,0.620805,0.419161,0.564742,0.388783,0.804188,0.654357,0.36636,0.64681,0.68039,0.802827,0.793317,0.820538,0.734874
1406,A,B,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,G,G,A,A,D,E,J,H,B,BI,EG,A,AP,BM,A,L,CK,0.330514,0.681761,0.61366,0.473202,0.908217,0.240069,0.279895,0.24564,0.30859,0.32446,0.223038,0.220003,0.333292,0.245184
1409,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,A,B,B,B,A,A,A,G,H,D,B,D,E,C,A,P,A,A,A,B,E,F,H,F,B,BI,D,A,AK,BJ,A,K,DP,0.367378,0.100099,0.462347,0.267727,0.585792,0.300657,0.360804,0.41182,0.32865,0.24355,0.324486,0.318249,0.266328,0.472742
1422,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,B,C,E,E,A,D,F,A,A,A,D,E,I,F,A,AB,EG,C,S,BG,A,K,DC,0.415686,0.488789,0.419161,0.195483,0.456483,0.2534,0.2612,0.27797,0.32311,0.26029,0.24541,0.241676,0.284958,0.678677
1429,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,B,D,B,B,C,B,D,B,A,A,A,C,A,D,B,C,E,C,D,T,M,A,A,A,I,F,H,K,K,BI,AI,C,AN,AJ,F,P,LB,0.367378,0.358319,0.174588,0.345595,0.348388,0.585075,0.577741,0.34987,0.37458,0.48334,0.588753,0.576121,0.704052,0.283732
1433,A,B,A,B,B,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,B,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,L,J,A,B,E,E,H,G,B,BI,CL,C,AS,BN,A,K,FB,0.338258,0.681761,0.506105,0.327354,0.946982,0.364464,0.329585,0.49462,0.29269,0.36458,0.341813,0.335036,0.324464,0.715986
1438,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,D,C,D,A,C,T,A,A,A,A,K,F,F,I,G,BI,EF,A,A,Y,E,P,LQ,0.84336,0.681761,0.317666,0.802892,0.473767,0.818755,0.496452,0.90055,0.8538,0.80218,0.843548,0.832658,0.826353,0.399676
1444,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,A,C,B,D,B,D,A,A,A,A,D,D,C,E,A,C,T,I,A,A,A,K,H,F,H,G,BI,CO,C,A,S,A,P,MD,0.901249,0.785784,0.506105,0.83884,0.281143,0.830487,0.589732,0.83606,0.91644,0.81923,0.909611,0.935432,0.835712,0.411347
1446,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,C,C,E,C,D,T,I,A,A,A,H,F,F,J,K,BI,BT,E,S,AX,A,P,IE,0.523592,0.620805,0.484196,0.473202,0.281143,0.700924,0.502991,0.54236,0.5042,0.5,0.698978,0.685713,0.69565,0.673934
1450,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,A,C,B,D,B,D,A,A,A,A,C,B,C,E,A,C,T,I,A,A,A,J,F,G,G,G,BI,EG,C,U,L,A,N,LF,0.893784,0.199504,0.280933,0.713852,0.281143,0.682622,0.417844,0.75964,0.93383,0.7877,0.711942,0.714544,0.751507,0.297794
1451,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,C,B,D,E,E,A,P,I,A,A,A,D,E,J,G,B,AB,EL,C,AN,BJ,A,L,DC,0.252973,0.047297,0.356819,0.236924,0.517162,0.229922,0.299386,0.44697,0.25433,0.22755,0.231253,0.227963,0.271571,0.261416
1454,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,G,A,A,A,D,E,J,G,B,BI,CS,E,J,AE,A,K,CK,0.312802,0.827585,0.711159,0.412789,0.422268,0.216269,0.336469,0.27797,0.35897,0.31003,0.24541,0.241676,0.298734,0.383483
