id,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
1337,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,A,C,B,B,B,A,A,A,A,A,C,D,D,D,A,A,P,O,C,A,B,G,F,G,F,B,AB,EG,A,AK,K,A,K,HM,0.634734,0.620805,0.336963,0.894723,0.811271,0.456654,0.42328,0.36083,0.46853,0.51666,0.4961,0.485119,0.363547,0.471368,5297.32
1338,B,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,E,A,D,I,G,A,A,D,E,J,G,A,BI,CS,A,E,AE,A,K,CK,0.290813,0.737068,0.711159,0.412789,0.422268,0.212308,0.325779,0.29758,0.34365,0.30529,0.24541,0.241676,0.258586,0.812502,3387.6
1339,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,B,C,B,B,D,A,A,B,B,H,D,D,D,E,C,A,P,F,A,B,A,G,H,G,F,D,BI,CL,A,AH,AN,A,K,HK,0.503312,0.620805,0.711159,0.229617,0.281143,0.463958,0.692003,0.37194,0.44352,0.45017,0.718299,0.705111,0.315758,0.235475,1519.96
1343,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,B,B,B,C,B,A,B,A,A,A,A,A,D,C,A,E,E,A,E,I,A,A,A,G,I,F,G,H,BI,CL,E,J,AT,A,H,HN,0.164112,0.827585,0.832339,0.473202,0.551723,0.411047,0.947899,0.50658,0.20266,0.43919,0.802827,0.790803,0.173647,0.383376,2432.97
1345,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,C,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,C,A,D,K,A,A,A,H,F,G,F,H,AB,CO,A,AV,X,I,I,IE,0.45271,0.620805,0.215772,0.935299,0.281143,0.396327,0.390306,0.26847,0.39849,0.57172,0.4922,0.481306,0.268941,0.306871,6061.79
1349,A,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,A,B,D,A,A,C,B,D,B,D,B,A,A,A,C,B,C,E,A,C,T,L,D,A,A,I,F,G,H,G,BI,EB,A,E,Y,A,O,KW,0.881655,0.299102,0.201309,0.614134,0.473767,0.648616,0.424486,0.44106,0.90264,0.81591,0.550529,0.590961,0.789182,0.825693,4192.46
1350,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,A,B,B,B,A,A,A,G,H,D,D,D,E,C,A,P,I,A,A,A,F,H,H,F,B,BI,CS,E,AF,AE,A,K,GS,0.503312,0.555782,0.762059,0.309621,0.61906,0.336105,0.350175,0.26847,0.41471,0.44467,0.622276,0.609277,0.318646,0.220647,1223.07
1364,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,H,C,D,C,E,C,D,T,F,A,A,B,I,F,G,K,K,BI,EB,A,AH,Y,E,Q,KW,0.536592,0.488789,0.397983,0.614134,0.551723,0.745129,0.576296,0.56011,0.53565,0.56081,0.776962,0.764426,0.789182,0.273345,1408.74
1366,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,A,A,A,A,A,A,C,A,D,A,A,A,A,A,A,C,C,C,D,G,D,T,L,D,A,A,K,F,F,I,K,BI,EG,A,AS,L,A,P,LN,0.838708,0.358319,0.26357,0.761209,0.281143,0.812029,0.758252,0.24564,0.81945,0.80218,0.784967,0.772574,0.844662,0.723599,1368.88
1367,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,C,B,A,A,A,A,A,D,D,E,E,G,E,R,G,D,A,A,G,F,G,H,F,BI,CS,A,AH,AE,A,M,HK,0.667647,0.785784,0.57136,0.327354,0.718531,0.678275,0.55642,0.33906,0.62542,0.81255,0.636828,0.623714,0.675536,0.237789,4568.83
1369,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,I,A,A,A,E,E,I,K,K,BI,EG,C,AI,AE,A,O,DJ,0.32033,0.681761,0.527991,0.373816,0.422268,0.408772,0.374687,0.32843,0.32128,0.44467,0.327915,0.32157,0.605077,0.340347,960.07
1370,A,B,A,A,B,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,D,B,D,B,B,C,B,D,B,D,A,A,A,A,D,B,C,E,E,C,T,G,J,A,B,I,F,G,G,G,BU,BC,A,AN,S,A,P,LB,0.800221,0.199504,0.174588,0.789639,0.317541,0.600404,0.429315,0.58354,0.83037,0.43919,0.569745,0.576121,0.681354,0.273216,4791.43
1372,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,B,D,D,D,C,B,D,B,A,A,A,A,A,D,C,C,E,A,D,T,J,A,A,A,J,F,F,K,K,BI,CL,A,A,AD,E,P,LF,0.655966,0.555782,0.356819,0.705434,0.281143,0.862621,0.696299,0.81542,0.58325,0.80569,0.784967,0.772574,0.866072,0.37491,1492.16
1379,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,B,D,B,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,A,A,A,E,E,H,G,B,R,EL,C,AF,AK,A,K,DK,0.435531,0.620805,0.506105,0.215482,0.281143,0.340845,0.347485,0.3128,0.39849,0.41743,0.314313,0.308395,0.351299,0.216856,1470.86
1386,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,A,D,D,D,E,A,A,P,J,A,A,A,F,G,G,F,D,BI,CL,C,AW,BO,E,J,IL,0.484469,0.15999,0.922649,0.284048,0.499798,0.466591,0.734152,0.39455,0.456,0.47225,0.705501,0.692256,0.318646,0.838272,3334.38
1389,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,B,C,E,C,D,T,K,A,A,A,G,F,I,M,K,AB,BC,A,U,AJ,C,Q,HV,0.281338,0.245921,0.280933,0.364302,0.340543,0.522389,0.368349,0.36083,0.34365,0.44467,0.4922,0.481306,0.743962,0.272091,1084.17
1391,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,B,C,B,B,B,A,A,A,A,A,C,D,D,E,C,A,P,G,A,A,A,E,E,G,F,B,BI,CL,E,G,BJ,A,K,DP,0.432682,0.555782,0.54977,0.267727,0.745764,0.385129,0.405795,0.41182,0.35897,0.26894,0.352419,0.352251,0.287682,0.209937,3507.8
1392,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,D,B,D,C,B,D,B,D,A,A,B,H,D,B,C,B,G,C,T,F,A,A,A,O,D,E,H,G,BI,EL,K,AH,Y,E,Q,KB,0.960283,0.299102,0.068793,0.54456,0.397069,0.948902,0.61654,0.47669,0.97621,0.8351,0.511698,0.714544,0.907207,0.23056,5866.07
1396,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,C,A,C,C,A,C,C,C,B,C,A,A,A,A,A,C,D,D,E,E,A,P,L,A,A,A,D,E,K,H,B,AB,EF,A,AH,X,E,M,CR,0.284869,0.681761,0.54977,0.886774,0.831634,0.219274,0.290763,0.64027,0.31763,0.25604,0.223038,0.241676,0.360468,0.39428,5012.16
1399,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,C,D,C,E,E,D,T,J,A,A,A,E,E,I,K,K,BI,CQ,A,U,BM,E,O,DP,0.330514,0.737068,0.592681,0.614134,0.874863,0.438917,0.436585,0.60087,0.35127,0.43919,0.338312,0.366307,0.611431,0.303659,2494.35
1400,A,B,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,B,A,D,D,D,E,A,A,P,I,C,A,A,G,G,F,F,D,BI,CL,E,N,J,A,K,HQ,0.51056,0.620805,0.61366,0.452887,0.281143,0.541712,0.698382,0.36636,0.52938,0.49444,0.661688,0.675759,0.342239,0.615913,1482.03
1407,A,B,A,B,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,B,C,E,A,C,T,L,J,A,A,K,E,E,I,G,BI,EB,C,E,Y,A,P,LO,0.872274,0.488789,0.26357,0.62377,0.635304,0.889474,0.681921,0.80438,0.90264,0.80218,0.644013,0.785706,0.851532,0.811229,6613.15
1412,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,D,B,A,A,A,B,H,D,D,C,D,A,D,T,F,I,A,A,K,F,E,K,K,BI,CS,A,AN,L,A,P,LN,0.655966,0.620805,0.336963,0.761209,0.281143,0.896332,0.774678,0.82598,0.58325,0.80569,0.82184,0.832658,0.866072,0.270334,2347.44
1413,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,C,D,E,E,C,A,S,J,A,A,C,E,E,I,J,I,BI,EB,A,E,AS,A,O,DF,0.367378,0.555782,0.484196,0.383428,0.281143,0.392956,0.329694,0.53046,0.42289,0.3148,0.284869,0.279884,0.543225,0.823714,1938.43
1414,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,C,A,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,K,A,A,A,E,E,I,J,K,BI,CQ,C,AH,BM,E,O,DP,0.372785,0.681761,0.592681,0.614134,0.874863,0.438917,0.43525,0.60087,0.35127,0.43919,0.374064,0.366307,0.611431,0.236616,5089.26
1416,A,B,A,B,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,B,A,A,C,B,D,D,A,A,A,A,A,C,D,C,E,A,D,T,L,M,A,A,K,E,F,K,K,BI,EB,C,K,Y,A,Q,LO,0.703859,0.358319,0.150744,0.62377,0.543117,0.855939,0.654022,0.64577,0.64296,0.79504,0.644013,0.665644,0.876533,0.366046,7627.44
1417,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,E,E,C,A,S,I,C,A,A,E,E,G,G,D,BI,AC,A,J,AT,A,L,IQ,0.333085,0.358319,0.440642,0.275813,0.491114,0.431978,0.676977,0.54829,0.39447,0.26459,0.334828,0.328268,0.30435,0.386647,1014.16
1420,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,C,E,E,A,D,I,A,A,A,C,E,K,G,A,BI,EB,A,U,AE,F,L,CI,0.281338,0.199504,0.65431,0.354893,0.422268,0.178538,0.298972,0.29758,0.32128,0.2123,0.209813,0.207184,0.26115,0.297754,2513.8
1423,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,F,A,A,G,H,G,F,B,BI,BT,A,U,AX,A,J,HK,0.496063,0.737068,0.792378,0.432728,0.551723,0.45228,0.618522,0.3128,0.44352,0.53328,0.771508,0.758883,0.336261,0.297178,1159.52
1428,B,B,A,B,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,G,A,A,G,F,H,F,B,BI,EG,C,J,K,A,K,HK,0.462786,0.358319,0.280933,0.869299,0.811271,0.34935,0.33627,0.39455,0.38249,0.35434,0.453334,0.443374,0.327393,0.383437,1602.13
1430,A,B,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,E,A,P,F,L,A,A,D,E,J,H,B,BI,EG,A,AS,BM,A,L,CK,0.330514,0.681761,0.61366,0.473202,0.911073,0.240069,0.279895,0.24564,0.30859,0.32446,0.223038,0.220003,0.333292,0.709124,1575.88
1432,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,B,H,D,D,C,E,A,A,D,F,A,A,E,G,H,F,E,H,BI,CL,A,AF,K,A,H,HQ,0.493164,0.785784,0.844219,0.902176,0.405415,0.519454,0.456708,0.26847,0.5063,0.65576,0.826362,0.814941,0.238667,0.220647,2134.17
1434,A,B,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,J,G,A,B,E,E,I,K,K,BI,CO,A,AS,AJ,A,O,DJ,0.268622,0.555782,0.592681,0.354893,0.397069,0.370204,0.31005,0.40028,0.33237,0.3148,0.348867,0.341872,0.549834,0.734981,1155.17
1435,A,B,A,B,A,A,B,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,B,B,C,B,C,B,A,B,A,B,H,D,D,E,E,G,E,R,F,M,A,A,H,F,G,I,F,BI,DL,E,AL,AK,A,N,HX,0.655966,0.488789,0.419161,0.259793,0.281143,0.69097,0.435735,0.2732,0.64103,0.78017,0.622276,0.609277,0.701266,0.695642,2102.24
1439,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,K,A,A,A,D,E,J,G,B,BI,EG,A,E,AE,C,K,CK,0.305371,0.620805,0.711159,0.412789,0.302678,0.220282,0.314608,0.27797,0.38249,0.31003,0.24541,0.241676,0.298734,0.824612,571.18
1440,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,H,C,A,C,E,E,H,K,K,BI,CM,A,AD,AF,A,N,GK,0.403067,0.620805,0.527991,0.236924,0.295397,0.507115,0.41943,0.29758,0.38249,0.59869,0.352419,0.387819,0.660756,0.793321,4727.18
1442,A,B,A,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,B,C,A,B,G,H,H,G,D,BI,W,C,J,AG,C,L,HK,0.436958,0.299102,0.745801,0.208655,0.281143,0.393798,0.533539,0.27797,0.5042,0.31003,0.678924,0.729856,0.333292,0.385793,4722.23
1447,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,C,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,H,D,A,A,G,E,G,L,K,BI,CO,A,AH,S,A,P,HV,0.333085,0.555782,0.280933,0.796346,0.765014,0.616096,0.426295,0.78487,0.43318,0.52775,0.4922,0.481306,0.717751,0.251516,1035.23
1456,A,B,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,N,M,A,A,E,E,J,L,K,BI,EF,A,U,Y,A,P,DP,0.281338,0.681761,0.506105,0.670373,0.534484,0.383459,0.396666,0.81542,0.32128,0.41743,0.345331,0.338446,0.660756,0.297916,3425.56
1460,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,D,A,A,G,H,D,B,C,E,A,C,T,A,A,A,A,I,F,H,H,G,AB,A,A,AS,BM,C,O,LB,0.824083,0.199504,0.201309,0.493605,0.794794,0.611356,0.414271,0.63475,0.79734,0.64056,0.6075,0.612906,0.73885,0.740091,224.88
1466,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,K,D,A,A,G,G,H,K,K,BI,EG,A,J,BG,E,O,HQ,0.348719,0.681761,0.57136,0.24439,0.517162,0.495943,0.352312,0.26847,0.38846,0.51111,0.668637,0.655374,0.633362,0.395691,1063.51
1467,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,D,B,A,B,C,B,A,A,A,A,A,D,B,E,E,G,E,R,A,A,A,A,H,E,G,I,F,BI,BC,A,AS,S,E,M,HX,0.636078,0.488789,0.280933,0.761209,0.696981,0.627435,0.451447,0.5245,0.64873,0.79139,0.472726,0.500382,0.689974,0.709258,1607.12
